detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1400,1.50073,1,14.8175,12.5289,23.1105,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1382,1.50368,2,27.984,16.853,17.5174,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1378,1.5084,3,22.176,15.3541,28.897,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1393,1.5058,4,120,12.6599,120,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1381,1.52989,5,39.0809,13.3314,120,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1365,1.50929,6,41.1102,14.1222,99.3221,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1389,1.4929,7,6.82512,13.5005,15.1095,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1383,1.51288,8,3.43096,11.6698,12.1891,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1327,1.52488,9,12.4229,12.0817,12.0071,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1376,1.51686,10,14.6268,11.7507,15.759,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1408,1.49425,11,10.5897,10.1648,11.9514,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1420,1.51378,12,10.4739,9.68322,11.2929,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1446,1.51818,13,7.4048,9.20459,9.18253,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1439,1.51091,14,14.0176,8.32764,12.3705,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1405,1.50605,15,7.93026,9.15646,8.50511,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1413,1.55293,16,24.4535,11.1345,13.3015,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2000,1421,1.52369,17,9.96799,8.29606,10.2504,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
