detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.5109,1,12.3784,12.5289,29.1133,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.52463,2,12.6108,16.853,13.7027,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.52044,3,1.13775,15.3541,120,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.57788,4,120,12.6599,120,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.56414,5,5.22947,13.3314,14.4123,12.995,7.638,1.442,7.683,1.35,0.5,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.53714,6,120,14.1222,120,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.5334,7,0.30575,13.5005,120,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.54779,8,2.73989,11.6698,10.7203,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.55532,9,4.90844,12.0817,13.2034,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.52196,10,10.2877,11.7507,14.992,12.5864,7.393,1.411,7.414,1.342,1,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.51885,11,3.99833,10.1648,120,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.52636,12,7.62317,9.68322,9.51408,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.55143,13,120,9.20459,120,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.55931,14,1.21421,8.32764,120,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.55741,15,11.0999,9.15646,9.81389,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.54203,16,120,11.1345,120,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
ORB,SIFT,MAT_FLANN,SEL_NN,1,0,0,2000,2000,1.52479,17,9.01926,8.29606,11.3894,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
