detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1759,1167,1.35361,1,15.4948,12.5289,13.1487,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1820,1221,1.52732,2,12.0718,16.853,11.7116,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1850,1210,1.36588,3,17.5765,15.3541,13.4002,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1828,1221,1.35205,4,12.4839,12.6599,12.1391,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1806,1155,1.36192,5,15.623,13.3314,13.3044,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1877,1190,1.37463,6,67.5671,14.1222,18.3368,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1894,1214,1.32882,7,12.071,13.5005,12.3793,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1889,1205,1.31438,8,11.3708,11.6698,11.5126,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1917,1187,1.34403,9,13.3811,12.0817,13.3448,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1874,1193,1.32104,10,11.3386,11.7507,11.5524,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1912,1239,1.33927,11,11.0075,10.1648,11.5986,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1930,1250,1.37567,12,12.6671,9.68322,12.0205,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1881,1248,1.36116,13,11.5131,9.20459,11.5069,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1886,1262,1.33793,14,11.1509,8.32764,11.1303,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1957,1281,1.31079,15,7.21186,9.15646,10.7212,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1888,1270,1.34038,16,10.8849,11.1345,11.1376,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_KNN,1,0,0,1919,1320,1.32015,17,7.03824,8.29606,7.75039,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
