detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1759,1206,1.38011,1,10.4878,12.5289,12.0506,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1820,1255,1.34104,2,10.3996,16.853,10.7148,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1850,1225,1.33039,3,14.0406,15.3541,13.0192,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1828,1228,1.32356,4,12.8823,12.6599,12.5109,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1806,1194,1.33522,5,15.0838,13.3314,13.1503,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1877,1216,1.33961,6,19.0135,14.1222,14.9825,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1894,1231,1.34855,7,10.6623,13.5005,11.5078,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1889,1231,1.30868,8,10.7904,11.6698,11.2759,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1917,1213,1.3251,9,14.6706,12.0817,13.3896,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1874,1230,1.32837,10,11.3901,11.7507,11.5607,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1912,1248,1.3046,11,11.4822,10.1648,11.7976,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1930,1257,1.32675,12,10.5267,9.68322,11.5656,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1881,1261,1.33349,13,11.6031,9.20459,11.4224,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1886,1285,1.3333,14,14.6243,8.32764,12.9031,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1957,1276,1.3444,15,9.85951,9.15646,11.1584,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1888,1314,1.32867,16,11.5035,11.1345,11.4787,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,BRIEF,MAT_BF,SEL_NN,1,0,0,1919,1352,1.36725,17,8.24935,8.29606,8.40751,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
