detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1759,1564,1.67064,1,120,12.5289,16.2241,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1820,1621,1.51373,2,9.44677,16.853,9.97629,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1850,1652,1.53778,3,120,15.3541,15.2036,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1828,1621,1.49215,4,26.8668,12.6599,12.7947,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1806,1582,1.53934,5,15.9551,13.3314,13.2215,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1877,1609,1.51193,6,21.835,14.1222,15.1726,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1894,1622,1.51328,7,11.1303,13.5005,12.0542,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1889,1621,1.67207,8,7.4294,11.6698,11.5656,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1917,1654,1.56605,9,120,12.0817,12.9926,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1874,1608,1.48838,10,6.95862,11.7507,11.5546,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1912,1657,1.49837,11,13.6575,10.1648,11.799,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1930,1654,1.55111,12,12.3285,9.68322,11.7506,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1881,1634,1.53813,13,11.2012,9.20459,11.3557,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1886,1640,1.51791,14,120,8.32764,14.559,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1957,1707,1.49742,15,120,9.15646,13.8134,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1888,1646,1.52363,16,6.78374,11.1345,11.1376,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1919,1683,1.63216,17,19.1675,8.29606,9.01942,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
