detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1759,779,1.58859,1,13.2245,12.5289,12.4656,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1820,843,1.58396,2,13.3871,16.853,13.5261,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1850,792,1.60742,3,12.2744,15.3541,12.398,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1828,817,1.57821,4,15.0163,12.6599,12.6754,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1806,805,1.59117,5,13.1126,13.3314,12.7954,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1877,780,1.59482,6,12.3572,14.1222,12.2347,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1894,850,1.58829,7,13.847,13.5005,12.84,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1889,842,1.55116,8,11.0305,11.6698,11.3267,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1917,832,1.56242,9,12.774,12.0817,13.0031,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1874,857,1.56285,10,10.9792,11.7507,11.3246,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1912,849,1.63743,11,10.9974,10.1648,11.6524,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1930,884,1.57467,12,11.2005,9.68322,11.7243,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1881,889,1.59808,13,10.9432,9.20459,11.4823,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1886,906,1.56672,14,8.44738,8.32764,9.24799,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1957,878,1.58382,15,3.0581,9.15646,10.5687,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1888,914,1.56995,16,10.866,11.1345,11.4707,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,BRISK,MAT_BF,SEL_KNN,1,0,0,1919,960,1.56388,17,8.45434,8.29606,9.12792,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
