detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1759,954,1.63022,1,16.479,12.5289,13.7165,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1820,997,1.48291,2,12.8384,16.853,12.1065,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1850,978,1.50314,3,16.9652,15.3541,12.4414,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1828,1004,1.57359,4,14.501,12.6599,12.6602,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1806,963,1.52925,5,17.2162,13.3314,13.9921,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1877,977,1.51638,6,36.2111,14.1222,12.9053,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1894,1020,1.63062,7,14.1066,13.5005,13.3535,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1889,999,1.57404,8,11.5881,11.6698,11.3267,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1917,1001,1.5931,9,16.6425,12.0817,14.0134,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1874,1032,1.57593,10,16.7009,11.7507,11.1163,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1912,1026,1.57207,11,11.6424,10.1648,11.6205,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1930,1050,1.61428,12,12.8056,9.68322,11.5556,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1881,1051,1.58032,13,12.4968,9.20459,11.8009,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1886,1083,1.59875,14,8.68189,8.32764,8.93355,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1957,1042,1.61132,15,8.03198,9.15646,11.7977,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1888,1070,1.61639,16,23.4522,11.1345,11.6484,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,BRISK,MAT_BF,SEL_NN,1,0,0,1919,1123,1.58399,17,15.2054,8.29606,9.46238,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
