detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1759,814,1.39133,1,15.8907,12.5289,13.1487,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1820,878,1.41361,2,27.9195,16.853,11.5827,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1850,851,1.38903,3,12.4497,15.3541,12.6347,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1828,874,1.40575,4,13.8072,12.6599,12.3342,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1806,845,1.42381,5,18.7613,13.3314,14.2385,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1877,831,1.40242,6,14.1435,14.1222,12.6126,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1894,870,1.39203,7,13.9033,13.5005,12.8674,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1889,863,1.50044,8,13.3229,11.6698,12.0414,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1917,860,1.44325,9,13.603,12.0817,13.0084,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1874,861,1.38575,10,11.0922,11.7507,11.444,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1912,885,1.38241,11,17.2035,10.1648,11.9215,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1930,880,1.38483,12,12.0583,9.68322,12.3436,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1881,886,1.39085,13,11.11,9.20459,11.5348,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1886,892,1.36954,14,9.51324,8.32764,10.2815,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1957,899,1.41243,15,17.5603,9.15646,11.5892,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1888,949,1.36312,16,9.36594,11.1345,10.7149,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,FREAK,MAT_BF,SEL_KNN,1,0,0,1919,952,1.37841,17,8.38276,8.29606,8.38732,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
