detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1759,947,1.41215,1,12.357,12.5289,12.7583,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1820,1017,1.42262,2,7.42633,16.853,10.482,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1850,1001,1.41358,3,15.7234,15.3541,13.1344,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1828,1007,1.41761,4,13.8876,12.6599,12.2908,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1806,982,1.41479,5,11.3264,13.3314,13.9876,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1877,986,1.44383,6,16.0937,14.1222,12.4447,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1894,1013,1.4091,7,10.7653,13.5005,12.2451,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1889,992,1.40434,8,12.9916,11.6698,11.8696,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1917,1013,1.39003,9,15.1212,12.0817,12.843,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1874,1019,1.38715,10,11.1557,11.7507,11.4658,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1912,1025,1.41712,11,11.0331,10.1648,11.8004,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1930,1024,1.39343,12,19.0412,9.68322,12.2901,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1881,1034,1.40843,13,12.7414,9.20459,11.9443,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1886,1041,1.41494,14,9.39787,8.32764,9.98561,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1957,1049,1.3885,15,10.8675,9.15646,11.6088,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1888,1094,1.39646,16,11.0144,11.1345,11.6549,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,FREAK,MAT_BF,SEL_NN,1,0,0,1919,1103,1.40129,17,8.98762,8.29606,9.7689,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
