detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1759,1586,1.72783,1,120,12.5289,120,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1820,1648,1.74776,2,120,16.853,120,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1850,1685,1.7605,3,120,15.3541,120,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1828,1649,1.7676,4,120,12.6599,19.5611,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1806,1614,1.72351,5,120,13.3314,120,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1877,1649,1.70704,6,120,14.1222,120,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1894,1661,1.74472,7,120,13.5005,50.7858,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1889,1658,1.75571,8,120,11.6698,120,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1917,1689,1.72428,9,120,12.0817,120,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1874,1643,1.71787,10,120,11.7507,14.7885,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1912,1693,2.04799,11,120,10.1648,120,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1930,1700,1.85693,12,120,9.68322,13.3174,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1881,1678,1.68928,13,120,9.20459,70.0167,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1886,1682,1.70615,14,120,8.32764,120,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1957,1747,1.70685,15,120,9.15646,15.5333,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1888,1682,1.77381,16,120,11.1345,13.4392,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,FREAK,MAT_FLANN,SEL_NN,1,0,0,1919,1716,1.69404,17,120,8.29606,12.2532,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
