detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1759,1056,1.32569,1,14.6199,12.5289,12.9602,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1820,1118,1.35428,2,11.2983,16.853,11.5827,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1850,1084,1.34695,3,13.9845,15.3541,12.1506,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1828,1079,1.31612,4,13.4921,12.6599,12.2816,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1806,1064,1.34382,5,16.8646,13.3314,13.947,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1877,1063,1.34053,6,13.6649,14.1222,12.469,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1894,1097,1.3235,7,11.2254,13.5005,12.1848,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1889,1081,1.32751,8,11.0847,11.6698,11.2653,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1917,1053,1.33499,9,12.901,12.0817,13.1345,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1874,1060,1.31229,10,10.9004,11.7507,11.4035,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1912,1092,1.33921,11,11.2478,10.1648,11.7426,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1930,1107,1.29219,12,11.8848,9.68322,12.0974,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1881,1077,1.32038,13,10.5349,9.20459,11.0412,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1886,1112,1.30864,14,9.55836,8.32764,10.2642,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1957,1137,1.32338,15,10.6355,9.15646,11.7569,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1888,1167,1.32776,16,9.34165,11.1345,10.2981,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,ORB,MAT_BF,SEL_KNN,1,0,0,1919,1197,1.32503,17,8.03035,8.29606,8.1958,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
