detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1759,1110,1.33472,1,13.4631,12.5289,12.6378,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1820,1162,1.34446,2,11.703,16.853,11.6912,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1850,1145,1.33701,3,14.6417,15.3541,13.1448,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1828,1118,1.34561,4,13.4208,12.6599,12.6115,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1806,1116,1.3574,5,16.1291,13.3314,13.7279,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1877,1108,1.36107,6,13.4113,14.1222,12.4381,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1894,1134,1.33244,7,11.3353,13.5005,12.2294,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1889,1131,1.36357,8,10.8129,11.6698,11.2465,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1917,1103,1.33828,9,12.9514,12.0817,12.7365,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1874,1122,1.3311,10,11.2448,11.7507,11.5611,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1912,1136,1.32767,11,11.0446,10.1648,11.6205,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1930,1155,1.35278,12,11.4314,9.68322,12.0168,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1881,1127,1.34825,13,12.8476,9.20459,11.9443,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1886,1173,1.34037,14,9.29795,8.32764,10.009,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1957,1198,1.33979,15,6.30109,9.15646,10.9093,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1888,1216,1.34117,16,9.49062,11.1345,10.4252,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,ORB,MAT_BF,SEL_NN,1,0,0,1919,1253,1.32944,17,8.13084,8.29606,8.64153,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
