detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1759,1548,1.50744,1,14.058,12.5289,11.3435,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1820,1598,1.49483,2,120,16.853,13.2474,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1850,1628,1.50771,3,120,15.3541,12.9209,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1828,1603,1.5193,4,120,12.6599,12.9091,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1806,1569,1.51928,5,120,13.3314,13.9915,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1877,1585,1.55327,6,120,14.1222,13.3235,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1894,1604,1.52456,7,21.663,13.5005,12.1074,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1889,1602,1.53296,8,120,11.6698,11.7219,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1917,1634,1.52197,9,120,12.0817,14.2948,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1874,1581,1.49934,10,120,11.7507,12.4083,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1912,1630,1.53809,11,55.1595,10.1648,11.9352,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1930,1630,1.51262,12,120,9.68322,12.1055,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1881,1612,1.49359,13,29.0266,9.20459,11.0412,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1886,1609,1.50696,14,120,8.32764,10.5009,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1957,1676,1.51226,15,3.94729,9.15646,8.88836,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1888,1619,1.50954,16,8.49725,11.1345,9.68906,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,ORB,MAT_FLANN,SEL_NN,1,0,0,1919,1660,1.46669,17,5.94494,8.29606,7.8455,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
