detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1759,1257,1.44119,1,14.2893,12.5289,13.0387,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1820,1321,1.39114,2,12.3031,16.853,11.8813,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1850,1344,1.46036,3,13.7808,15.3541,12.8675,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1828,1324,1.61988,4,12.7959,12.6599,12.4972,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1806,1287,1.42761,5,15.1373,13.3314,13.1503,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1877,1310,1.41376,6,13.165,14.1222,12.6681,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1894,1337,1.53479,7,11.5444,13.5005,11.8822,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1889,1334,1.41146,8,12.3484,11.6698,12.0033,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1917,1324,1.53837,9,14.4155,12.0817,13.3599,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1874,1299,1.39674,10,11.8179,11.7507,11.8969,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1912,1356,1.4182,11,11.2522,10.1648,11.6524,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1930,1372,1.37328,12,10.5896,9.68322,11.6194,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1881,1359,1.40691,13,9.7204,9.20459,10.4326,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1886,1400,1.39863,14,13.5984,8.32764,12.0029,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1957,1425,1.36129,15,9.74756,9.15646,10.9372,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1888,1442,1.41073,16,9.65109,11.1345,10.4246,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,SIFT,MAT_BF,SEL_KNN,1,0,0,1919,1487,1.39999,17,8.8143,8.29606,9.18809,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
