detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1759,1346,1.4224,1,14.0122,12.5289,12.9602,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1820,1400,1.4367,2,12.0786,16.853,11.6934,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1850,1401,1.42394,3,13.625,15.3541,12.8595,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1828,1403,1.43363,4,12.1235,12.6599,12.2021,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1806,1385,1.44402,5,11.3925,13.3314,12.611,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1877,1407,1.47041,6,13.7402,14.1222,12.9475,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1894,1429,1.44448,7,11.2988,13.5005,12.1296,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1889,1436,1.44285,8,12.6493,11.6698,12.0478,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1917,1428,1.40945,9,14.1586,12.0817,13.4042,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1874,1423,1.45416,10,11.6144,11.7507,11.755,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1912,1453,1.40474,11,12.536,10.1648,11.8481,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1930,1446,1.42122,12,11.3323,9.68322,11.9735,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1881,1448,1.45075,13,10.3917,9.20459,10.8858,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1886,1485,1.43971,14,12.4597,8.32764,10.694,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1957,1484,1.40548,15,9.63081,9.15646,10.8582,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1888,1494,1.43711,16,11.2563,11.1345,11.3141,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,SIFT,MAT_BF,SEL_NN,1,0,0,1919,1533,1.43499,17,8.31204,8.29606,8.56885,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
