detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1759,1265,1.41863,1,13.2924,12.5289,12.7634,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1820,1326,1.39194,2,12.8504,16.853,12.1752,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1850,1345,1.39051,3,13.7492,15.3541,12.8865,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1828,1329,1.42662,4,12.9404,12.6599,12.535,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1806,1298,1.40767,5,15.1373,13.3314,13.1503,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1877,1318,1.42847,6,12.5839,14.1222,12.4514,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1894,1351,1.40829,7,11.5444,13.5005,11.8822,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1889,1346,1.40667,8,12.2982,11.6698,12.0004,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1917,1337,1.40241,9,12.9191,12.0817,13.0515,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1874,1313,1.3884,10,11.8179,11.7507,11.8969,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1912,1379,1.3917,11,11.2522,10.1648,11.6524,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1930,1398,1.39634,12,10.5372,9.68322,11.6137,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1881,1368,1.41931,13,10.0809,9.20459,10.7291,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1886,1409,1.39211,14,17.7922,8.32764,12.3397,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1957,1444,1.40342,15,9.44091,9.15646,11.1816,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1888,1457,1.38697,16,9.65109,11.1345,10.4246,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1919,1492,1.40199,17,8.67225,8.29606,9.01942,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
