detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1759,1759,1.49461,1,14.0096,12.5289,12.1042,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1820,1820,1.4171,2,13.7655,16.853,11.3592,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1850,1850,1.44837,3,120,15.3541,12.7506,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1828,1828,1.42688,4,21.37,12.6599,12.3509,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1806,1806,1.43073,5,85.7435,13.3314,13.6733,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1877,1877,1.7298,6,10.4098,14.1222,12.8653,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1894,1894,1.54792,7,17.4615,13.5005,12.5199,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1889,1889,1.60856,8,15.2442,11.6698,11.9769,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1917,1917,1.4024,9,120,12.0817,14.6225,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1874,1874,1.46815,10,13.1341,11.7507,12.1924,12.5864,7.393,1.411,7.414,1.342,1,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1912,1912,1.49108,11,120,10.1648,11.9423,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1930,1930,1.46152,12,120,9.68322,12.1312,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1881,1881,1.41034,13,12.9318,9.20459,11.7101,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1886,1886,1.40534,14,69.2687,8.32764,12.0646,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1957,1957,1.39196,15,7.97328,9.15646,8.63031,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1888,1888,1.38586,16,13.2656,11.1345,11.1376,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SHITOMASI,SIFT,MAT_FLANN,SEL_NN,1,0,0,1919,1919,1.39815,17,10.2552,8.29606,9.2219,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
