detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,1915,858,1.37779,1,15.4611,12.5289,13.3701,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,1824,878,1.40977,2,16.0792,16.853,15.0105,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,1837,904,1.41005,3,26.758,15.3541,21.9068,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,1828,856,1.38811,4,15.128,12.6599,13.2677,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,1877,893,1.42671,5,10.8791,13.3314,11.9628,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,1931,904,1.48887,6,14.1532,14.1222,14.5546,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,1964,915,1.40494,7,14.9146,13.5005,15.3785,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,1954,881,1.41654,8,13.1088,11.6698,12.8892,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,1984,910,1.38254,9,9.94238,12.0817,10.0383,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,2046,920,1.36412,10,12.4716,11.7507,12.1359,12.5864,7.393,1.411,7.414,1.342,1,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,2065,919,1.39947,11,9.3773,10.1648,10.1383,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,2007,937,1.42268,12,10.0987,9.68322,9.66274,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,2030,1010,1.3516,13,9.91633,9.20459,9.88483,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,2048,978,1.34653,14,9.01142,8.32764,10.1024,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,2044,962,1.35549,15,9.19806,9.15646,8.93163,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,2086,979,1.58772,16,9.34089,11.1345,9.05558,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SIFT,BRIEF,MAT_BF,SEL_KNN,1,0,0,2094,1010,1.3239,17,9.24038,8.29606,8.91734,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
