detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,1915,937,1.38943,1,11.3289,12.5289,12.5866,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,1824,937,1.367,2,13.9401,16.853,14.1773,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,1837,943,1.3693,3,31.7915,15.3541,21.2266,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,1828,957,1.37237,4,22.5907,12.6599,14.1642,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,1877,966,1.38994,5,13.7583,13.3314,12.2931,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,1931,973,1.37813,6,11.3078,14.1222,13.0778,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,1964,969,1.39129,7,16.652,13.5005,16.2259,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,1954,966,1.36878,8,12.0882,11.6698,12.839,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,1984,975,1.37244,9,11.2863,12.0817,10.6379,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,2046,992,1.386,10,7.756,11.7507,9.88823,12.5864,7.393,1.411,7.414,1.342,1,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,2065,995,1.4318,11,11.0798,10.1648,10.9763,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,2007,1019,1.45577,12,8.65289,9.68322,9.16322,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,2030,1045,1.4678,13,8.75979,9.20459,9.9293,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,2048,1032,1.39123,14,9.53698,8.32764,9.46445,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,2044,1066,1.39546,15,9.00331,9.15646,8.99814,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,2086,1072,1.38089,16,9.00074,11.1345,8.75213,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SIFT,BRIEF,MAT_BF,SEL_NN,1,0,0,2094,1086,1.39068,17,9.60268,8.29606,9.32321,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
