detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1915,1700,1.6068,1,120,12.5289,23.1441,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1824,1635,1.58418,2,120,16.853,13.3992,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1837,1660,1.51979,3,120,15.3541,22.031,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1828,1655,1.55056,4,120,12.6599,17.5156,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1877,1686,1.56389,5,120,13.3314,12.1963,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1931,1707,1.53603,6,120,14.1222,14.3063,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1964,1741,1.55774,7,120,13.5005,16.8783,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1954,1731,1.53973,8,120,11.6698,15.2736,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,1984,1750,1.54048,9,10.7418,12.0817,10.4157,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2046,1775,1.55939,10,120,11.7507,15.054,12.5864,7.393,1.411,7.414,1.342,1,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2065,1848,1.55629,11,120,10.1648,11.2249,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2007,1779,1.57583,12,7.30649,9.68322,9.57293,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2030,1807,1.57209,13,120,9.20459,10.9222,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2048,1815,1.56736,14,120,8.32764,9.83688,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2044,1829,1.54251,15,9.44902,9.15646,8.95836,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2086,1850,1.54604,16,2.77629,11.1345,8.54455,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SIFT,BRIEF,MAT_FLANN,SEL_NN,1,0,0,2094,1844,1.59307,17,11.3568,8.29606,9.46597,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
