detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,1915,899,1.80834,1,120,12.5289,13.5653,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,1824,907,1.67622,2,12.109,16.853,13.5015,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,1837,889,1.67084,3,18.2346,15.3541,18.0824,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,1828,915,1.67227,4,29.5214,12.6599,15.3919,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,1877,905,1.61523,5,9.7761,13.3314,10.574,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,1931,924,1.63377,6,13.8258,14.1222,13.5523,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,1964,931,1.61327,7,11.6402,13.5005,14.6887,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,1954,917,1.64244,8,14.7363,11.6698,13.1137,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,1984,923,1.6325,9,8.46726,12.0817,10.5944,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,2046,931,1.89205,10,11.1609,11.7507,11.2513,12.5864,7.393,1.411,7.414,1.342,1,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,2065,940,1.60118,11,14.707,10.1648,10.8536,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,2007,974,1.61427,12,11.7716,9.68322,9.70054,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,2030,1004,1.58819,13,9.37034,9.20459,9.39926,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,2048,1006,1.59386,14,9.75015,8.32764,9.48638,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,2044,1037,1.64126,15,9.3517,9.15646,9.20269,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,2086,1034,1.60814,16,10.063,11.1345,8.92663,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SIFT,BRISK,MAT_BF,SEL_NN,1,0,0,2094,1053,1.6326,17,7.88536,8.29606,9.07881,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
