detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1915,734,2.05121,1,12.1208,12.5289,12.9912,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1824,742,2.00213,2,12.5777,16.853,13.5383,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1837,722,1.94182,3,19.5861,15.3541,18.8554,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1828,735,1.96764,4,14.4542,12.6599,14.9871,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1877,711,2.33501,5,11.5545,13.3314,11.5501,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1931,758,2.35107,6,14.1505,14.1222,14.2129,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1964,736,1.94461,7,13.9375,13.5005,14.9965,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1954,738,1.94793,8,12.1115,11.6698,12.9821,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,1984,750,1.98095,9,11.1917,12.0817,11.3858,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2046,765,1.93393,10,12.2179,11.7507,12.7642,12.5864,7.393,1.411,7.414,1.342,1,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2065,769,1.95974,11,11.9896,10.1648,10.3064,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2007,790,1.94622,12,12.2136,9.68322,9.57895,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2030,813,1.92793,13,9.51444,9.20459,9.29198,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2048,842,2.03684,14,9.43192,8.32764,9.44966,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2044,824,2.08313,15,8.84082,9.15646,8.72479,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2086,895,1.95955,16,10.7714,11.1345,9.50225,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SIFT,BRISK,MAT_FLANN,SEL_KNN,1,0,0,2094,862,1.98038,17,9.47201,8.29606,9.32687,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
