detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,1915,1817,1.9535,1,120,12.5289,120,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,1824,1746,2.108,2,120,16.853,50.3998,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,1837,1763,1.97781,3,120,15.3541,120,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,1828,1746,1.94624,4,120,12.6599,120,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,1877,1773,1.92911,5,120,13.3314,120,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,1931,1814,1.99882,6,120,14.1222,120,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,1964,1855,1.96942,7,120,13.5005,51.1115,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,1954,1858,1.96789,8,120,11.6698,120,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,1984,1873,1.96579,9,120,12.0817,120,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,2046,1900,2.01225,10,120,11.7507,120,12.5864,7.393,1.411,7.414,1.342,1,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,2065,1960,1.97796,11,120,10.1648,23.1878,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,2007,1903,2.07293,12,120,9.68322,120,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,2030,1943,2.05358,13,120,9.20459,120,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,2048,1961,2.08476,14,120,8.32764,120,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,2044,1965,2.04014,15,120,9.15646,12.9287,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,2086,1991,2.04344,16,120,11.1345,120,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SIFT,BRISK,MAT_FLANN,SEL_NN,1,0,0,2094,1991,2.02222,17,120,8.29606,15.6139,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
