detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,1915,856,1.49709,1,13.4386,12.5289,13.8342,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,1824,865,1.47059,2,19.6757,16.853,13.9147,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,1837,858,1.48438,3,120,15.3541,18.7938,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,1828,866,1.48297,4,13.515,12.6599,13.2543,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,1877,848,1.48001,5,10.7424,13.3314,11.7674,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,1931,872,1.51893,6,28.0773,14.1222,14.1572,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,1964,866,1.47949,7,120,13.5005,13.7137,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,1954,858,1.48535,8,67.5351,11.6698,13.8653,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,1984,871,1.4945,9,11.1201,12.0817,10.6277,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,2046,875,1.51493,10,15.0892,11.7507,10.9784,12.5864,7.393,1.411,7.414,1.342,1,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,2065,900,1.48057,11,10.3107,10.1648,10.858,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,2007,916,1.49332,12,9.39073,9.68322,9.16523,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,2030,925,1.49787,13,9.74742,9.20459,9.69187,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,2048,942,1.46439,14,10.6229,8.32764,9.38845,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,2044,973,1.46609,15,9.43232,9.15646,9.18654,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,2086,966,1.49973,16,8.97334,11.1345,8.69935,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SIFT,FREAK,MAT_BF,SEL_NN,1,0,0,2094,983,1.47105,17,9.46683,8.29606,9.25815,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
