detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,1915,697,1.79862,1,14.3352,12.5289,13.6132,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,1824,700,1.79398,2,13.023,16.853,13.5187,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,1837,692,1.79234,3,21.7385,15.3541,19.7155,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,1828,685,1.77504,4,13.7401,12.6599,13.7038,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,1877,692,1.77754,5,14.5285,13.3314,12.0221,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,1931,706,1.7685,6,17.4447,14.1222,14.8462,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,1964,711,1.83149,7,14.7125,13.5005,13.5425,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,1954,688,1.82217,8,13.4723,11.6698,13.7404,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,1984,724,1.80018,9,10.5428,12.0817,11.4383,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2046,707,1.77064,10,11.8895,11.7507,12.1314,12.5864,7.393,1.411,7.414,1.342,1,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2065,742,1.90251,11,10.0433,10.1648,9.97047,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2007,728,1.85001,12,10.6357,9.68322,10.1425,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2030,759,1.78518,13,9.90984,9.20459,9.78,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2048,763,1.83995,14,9.58749,8.32764,8.96748,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2044,794,1.85093,15,12.775,9.15646,8.94137,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2086,803,1.87389,16,9.80076,11.1345,9.18097,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SIFT,FREAK,MAT_FLANN,SEL_KNN,1,0,0,2094,811,1.85356,17,9.88207,8.29606,9.60671,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
