detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,1915,1709,1.79939,1,120,12.5289,34.7512,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,1824,1647,1.76202,2,120,16.853,41.4224,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,1837,1668,1.78943,3,120,15.3541,120,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,1828,1659,1.78016,4,120,12.6599,120,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,1877,1686,1.812,5,120,13.3314,120,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,1931,1723,1.79797,6,120,14.1222,120,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,1964,1745,1.85389,7,120,13.5005,120,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,1954,1743,1.88496,8,120,11.6698,120,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,1984,1761,1.82618,9,120,12.0817,16.5048,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,2046,1782,1.81416,10,120,11.7507,120,12.5864,7.393,1.411,7.414,1.342,1,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,2065,1856,1.83098,11,120,10.1648,120,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,2007,1790,1.89235,12,120,9.68322,12.231,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,2030,1822,1.87261,13,120,9.20459,11.333,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,2048,1834,1.879,14,120,8.32764,120,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,2044,1856,1.83994,15,120,9.15646,19.5936,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,2086,1874,1.85674,16,120,11.1345,10.3907,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SIFT,FREAK,MAT_FLANN,SEL_NN,1,0,0,2094,1861,1.83407,17,120,8.29606,12.4658,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
