detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,1915,987,1.54735,1,16.2001,12.5289,12.5746,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,1824,972,1.52495,2,120,16.853,13.3459,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,1837,964,1.51785,3,25.3509,15.3541,18.6524,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,1828,989,1.52654,4,17.7776,12.6599,12.598,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,1877,969,1.53,5,9.27729,13.3314,11.2959,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,1931,1013,1.55506,6,12.8353,14.1222,13.6239,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,1964,1036,1.53553,7,120,13.5005,15.7038,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,1954,1008,1.54591,8,120,11.6698,15.5328,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,1984,1006,1.53766,9,10.4764,12.0817,10.6603,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,2046,1084,1.5048,10,10.7653,11.7507,11.3368,12.5864,7.393,1.411,7.414,1.342,1,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,2065,1060,1.54111,11,19.9334,10.1648,11.3193,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,2007,1107,1.52049,12,9.27992,9.68322,9.16322,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,2030,1125,1.54409,13,120,9.20459,10.8008,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,2048,1107,1.53525,14,68.7453,8.32764,10.0467,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,2044,1173,1.54649,15,120,9.15646,9.70693,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,2086,1182,1.53681,16,10.7779,11.1345,8.67947,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SIFT,SIFT,MAT_BF,SEL_KNN,1,0,0,2094,1157,1.50547,17,9.30872,8.29606,8.91734,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
