detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,1915,1105,1.55733,1,24.3053,12.5289,13.4003,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,1824,1081,1.551,2,11.8681,16.853,12.8458,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,1837,1090,1.56766,3,39.6769,15.3541,17.806,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,1828,1082,1.55499,4,13.6637,12.6599,13.3896,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,1877,1099,1.53531,5,11.728,13.3314,12.23,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,1931,1140,1.5563,6,83.0346,14.1222,13.6343,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,1964,1153,1.53523,7,120,13.5005,16.1521,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,1954,1128,1.5316,8,11.3077,11.6698,12.7795,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,1984,1147,1.54934,9,10.7007,12.0817,10.826,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,2046,1208,1.53373,10,120,11.7507,11.0632,12.5864,7.393,1.411,7.414,1.342,1,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,2065,1192,1.5478,11,120,10.1648,11.5353,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,2007,1228,1.55434,12,20.8927,9.68322,9.65525,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,2030,1228,1.5526,13,9.58486,9.20459,9.53231,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,2048,1218,1.54863,14,10.9753,8.32764,9.47394,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,2044,1274,1.54081,15,9.25798,9.15646,9.18654,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,2086,1286,1.57099,16,9.13233,11.1345,8.61237,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SIFT,SIFT,MAT_BF,SEL_NN,1,0,0,2094,1284,1.54079,17,2.61356,8.29606,8.81862,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
