detector,descriptor,matcher,selector,rem_bb_out,rem_kpt_out,rem_kpt_post_out,keypoints,matchpts,proc_time,frame,ttcCamera,ttcLidar,medTtcCamera,medTtcLidar,xmin_raw,width_raw,xmin_filt,width_filt,time,delta_t
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1915,996,1.54526,1,120,12.5289,13.176,12.1259,7.913,1.456,7.913,1.375,0.1,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1824,978,1.55586,2,120,16.853,13.3459,14.7458,7.849,1.459,7.849,1.377,0.2,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1837,967,1.549,3,26.6923,15.3541,18.4298,16.6851,7.793,1.466,7.803,1.391,0.3,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1828,993,1.53419,4,17.1479,12.6599,12.598,15.4287,7.685,1.446,7.744,1.39,0.4,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1877,985,1.54491,5,10.995,13.3314,11.5783,12.995,7.638,1.442,7.683,1.35,0.5,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1931,1017,1.55386,6,13.5798,14.1222,13.6311,11.9813,7.577,1.433,7.577,1.341,0.6,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1964,1039,1.57533,7,16.0768,13.5005,15.216,13.2356,7.555,1.438,7.555,1.414,0.7,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1954,1023,1.54675,8,120,11.6698,16.1838,13.1356,7.475,1.452,7.515,1.356,0.8,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,1984,1010,1.5524,9,9.33156,12.0817,10.5804,11.0074,7.434,1.406,7.468,1.372,0.9,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2046,1088,1.52942,10,120,11.7507,11.7276,12.5864,7.393,1.411,7.414,1.342,1,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2065,1074,1.53453,11,25.3466,10.1648,11.5522,8.95607,7.205,1.455,7.344,1.354,1.1,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2007,1117,1.54471,12,9.35893,9.68322,9.20893,10.2436,7.272,1.47,7.272,1.335,1.2,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2030,1144,1.6224,13,120,9.20459,10.8008,9.10633,7.194,1.458,7.194,1.408,1.3,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2048,1114,1.59283,14,81.3396,8.32764,10.0967,8.36357,7.129,1.384,7.129,1.317,1.4,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2044,1184,1.54591,15,120,9.15646,9.70693,10.3544,7.042,1.381,7.042,1.377,1.5,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2086,1179,1.55457,16,9.70757,11.1345,8.69153,9.54521,6.827,1.362,6.963,1.305,1.6,0.1
SIFT,SIFT,MAT_FLANN,SEL_KNN,1,0,0,2094,1162,1.53952,17,9.2886,8.29606,8.87112,8.50248,6.896,1.377,6.896,1.331,1.7,0.1
