filename,avgkpts,avgmats,avglidcorr,medlidcorr,avgcamcorr,medcamcorr
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_AKAZE_MAT_BF_SEL_KNN_stats.csv,1547,1561,0.84,0.83,0.76,0.88
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_AKAZE_MAT_BF_SEL_NN_stats.csv,1547,1561,0.84,0.83,0.88,0.90
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_AKAZE_MAT_FLANN_SEL_KNN_stats.csv,1547,1561,0.84,0.83,0.76,0.88
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_AKAZE_MAT_FLANN_SEL_NN_stats.csv,1547,1561,0.84,0.83,0.18,0.49
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_BRIEF_MAT_BF_SEL_KNN_stats.csv,1547,1561,0.84,0.83,0.89,0.90
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_BRIEF_MAT_BF_SEL_NN_stats.csv,1547,1561,0.84,0.83,0.92,0.91
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_BRIEF_MAT_FLANN_SEL_KNN_stats.csv,1547,1561,0.84,0.83,0.89,0.90
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_BRIEF_MAT_FLANN_SEL_NN_stats.csv,1547,1561,0.84,0.83,0.48,0.89
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_BRISK_MAT_BF_SEL_KNN_stats.csv,1547,1561,0.84,0.83,0.88,0.89
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_BRISK_MAT_BF_SEL_NN_stats.csv,1547,1561,0.84,0.83,0.84,0.91
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_BRISK_MAT_FLANN_SEL_KNN_stats.csv,1547,1561,0.84,0.83,0.88,0.89
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_BRISK_MAT_FLANN_SEL_NN_stats.csv,1547,1561,0.84,0.83,0.29,0.71
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_FREAK_MAT_BF_SEL_KNN_stats.csv,1547,1561,0.84,0.83,0.91,0.90
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_FREAK_MAT_BF_SEL_NN_stats.csv,1547,1561,0.84,0.83,0.85,0.89
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_FREAK_MAT_FLANN_SEL_KNN_stats.csv,1547,1561,0.84,0.83,0.91,0.90
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_ORB_MAT_BF_SEL_KNN_stats.csv,1547,1561,0.84,0.83,0.88,0.91
/home/dan/SFND_3D_Object_Tracking/analysis/AKAZE_ORB_MAT_BF_SEL_NN_stats.csv,1547,1561,0.84,0.83,0.90,0.89
